time,x0,x1,x2,x3,x4,x5
0.0,9.999999999999999e-09,0.0,1e-08,0.0,0.0,1e-05
0.002,9.87001910506661e-09,2.4705788980247706e-10,9.993545261487009e-09,5.576968511629611e-15,1.2903900057457889e-11,1e-05
0.004,9.732867638129045e-09,4.833181143912008e-10,9.974521175045385e-09,1.1040581673367943e-14,5.0946609327108453e-11,1e-05
0.006,9.59212053393293e-09,7.031543600332408e-10,9.943689596170494e-09,1.6235589759138205e-14,1.1260457206859482e-10,1e-05
0.008,9.451343576514663e-09,9.016537275163197e-10,9.90215993067058e-09,2.101923916785813e-14,1.9565911941893132e-10,1e-05
0.01,9.313330279629881e-09,1.0759120861982716e-09,9.851273679356404e-09,2.528677618342549e-14,2.974273545100183e-10,1e-05
0.012,9.179938140785643e-09,1.2250833361458639e-09,9.79246531318589e-09,2.899136919905027e-14,4.1504038225813533e-10,1e-05
0.014,9.052290634358868e-09,1.3497815180014707e-09,9.727165333104966e-09,3.2120524314321407e-14,5.456372132654182e-10,1e-05
0.016,8.930887794406571e-09,1.4517272598440123e-09,9.656734074484507e-09,3.4699697532961373e-14,6.86497151333984e-10,1e-05
0.018000000000000002,8.815495769896829e-09,1.5338791046061768e-09,9.582416929085134e-09,3.678623960538256e-14,8.35129355591492e-10,1e-05
0.02,8.705639369312239e-09,1.5992622411453533e-09,9.505251270054082e-09,3.843967663221832e-14,9.89459020217005e-10,1e-05
0.022,8.60080289207375e-09,1.6505911395844231e-09,9.426078599479706e-09,3.972479259894973e-14,1.1478030762499748e-09,1e-05
0.024,8.50048768529766e-09,1.6902375246460217e-09,9.345586093465948e-09,4.070833366911127e-14,1.3087871047361989e-09,1e-05
0.026000000000000002,8.404236650199778e-09,1.720239148735767e-09,9.264335506221689e-09,4.143672088055368e-14,1.4712875508364844e-09,1e-05
0.028,8.31160534396426e-09,1.7423825731336902e-09,9.182775650953351e-09,4.195918848755003e-14,1.634406738904236e-09,1e-05
0.03,8.22219309906678e-09,1.758168533901237e-09,9.101256208592695e-09,4.231488530276526e-14,1.7974452679276297e-09,1e-05
0.032,8.135652450915893e-09,1.7688595490748896e-09,9.020060960496442e-09,4.252995253573361e-14,1.9598355490518475e-09,1e-05
0.034,8.051669860841158e-09,1.7755188256995358e-09,8.939407954063232e-09,4.263929570418792e-14,2.121141452574518e-09,1e-05
0.036000000000000004,7.969980282936756e-09,1.7789932125985715e-09,8.859455556821099e-09,4.266487092694665e-14,2.281046221483325e-09,1e-05
0.038,7.8903664395968e-09,1.7799749345494152e-09,8.780332597206103e-09,4.2619373381787466e-14,2.439292186210405e-09,1e-05
0.04,7.812635581998705e-09,1.779062869752704e-09,8.70214575349129e-09,4.252681003936482e-14,2.595665966203537e-09,1e-05
0.042,7.736655092598409e-09,1.776583900399441e-09,8.624925846916075e-09,4.239180638851856e-14,2.7501059143577863e-09,1e-05
0.044,7.662278164656148e-09,1.7729718835107727e-09,8.548742992973617e-09,4.222691751281551e-14,2.9024717871319706e-09,1e-05
