time,x0,x1,x2,x3,x4,x5
0.0,1.2876529299999998e-09,7.25644133e-10,1.65047091e-09,8.16685447e-15,1.669905e-08,1e-05
0.002,1.2855036285896405e-09,7.250305343035984e-10,1.6480148168148843e-09,8.151707578520752e-15,1.6703962201517125e-08,1e-05
0.004,1.2833620908091777e-09,7.244186539792482e-10,1.6455673464188195e-09,8.13661443255179e-15,1.6708857157402397e-08,1e-05
0.006,1.2812282738422077e-09,7.238084843492461e-10,1.6431284521566288e-09,8.121574872443263e-15,1.6713734960966344e-08,1e-05
0.008,1.2791021587102242e-09,7.232000218795965e-10,1.640698113282911e-09,8.106588690755585e-15,1.671859565369996e-08,1e-05
0.01,1.2769836990674302e-09,7.225932579278549e-10,1.638276279130812e-09,8.091655559382942e-15,1.6723439336937287e-08,1e-05
0.012,1.2748728505158998e-09,7.219881843605445e-10,1.6358629012358166e-09,8.076775179246491e-15,1.672826610760766e-08,1e-05
0.014,1.2727695896438526e-09,7.213847967897102e-10,1.6334579539922435e-09,8.061947396991443e-15,1.673307601692259e-08,1e-05
0.016,1.270673869489323e-09,7.207830864784069e-10,1.6310613860698099e-09,8.047171902147689e-15,1.6737869167542954e-08,1e-05
0.018000000000000002,1.2685856488001105e-09,7.201830457769688e-10,1.6286731523916156e-09,8.032448427055639e-15,1.6742645649622816e-08,1e-05
0.02,1.2665048869097035e-09,7.195846671462271e-10,1.626293208521697e-09,8.017776708324396e-15,1.6747405552034375e-08,1e-05
0.022,1.2644315334566035e-09,7.189879412179313e-10,1.6239214994145976e-09,8.003156411902799e-15,1.675214898486887e-08,1e-05
0.024,1.2623655446567514e-09,7.183928598302566e-10,1.6215579772054886e-09,7.988587250990443e-15,1.675687604385625e-08,1e-05
0.026000000000000002,1.260306896897115e-09,7.177994183178953e-10,1.619202615948757e-09,7.974069079638105e-15,1.6761586780887885e-08,1e-05
0.028,1.2582555390042052e-09,7.172076072381129e-10,1.616855359749716e-09,7.959601559446121e-15,1.6766281307753486e-08,1e-05
0.03,1.256211429248427e-09,7.166174187852128e-10,1.6145161629760585e-09,7.94518441796009e-15,1.677095971571794e-08,1e-05
0.032,1.254174535979217e-09,7.160288468322457e-10,1.6121849909138543e-09,7.93081743969719e-15,1.6775622074209327e-08,1e-05
0.034,1.252144821153011e-09,7.154418841874544e-10,1.6098618019237862e-09,7.916500373038258e-15,1.678026846650653e-08,1e-05
0.036000000000000004,1.2501222431496348e-09,7.148565230633672e-10,1.6075465504920796e-09,7.902232946147391e-15,1.678489898363737e-08,1e-05
0.038,1.2481067671093303e-09,7.142727568179631e-10,1.605239198438083e-09,7.888014926295838e-15,1.678951370196338e-08,1e-05
