time,x0,x1,x2
0.0,1.0,0.0,0.0
0.01,0.9996946611318049,0.0003011728840176547,4.1659841776650345e-06
0.02,0.9998245258126542,0.00016542263192203098,1.0051555424043652e-05
0.03,0.9998707480256068,0.00011736218685402741,1.188978753941561e-05
0.04,0.999882938148756,0.00010396386796998699,1.3097983274369322e-05
0.05,0.999889936971972,9.596995845345041e-05,1.409306957477478e-05
0.06,0.999894939966734,9.010346755823204e-05,1.495656570803606e-05
0.07,0.9998987766227176,8.549717457804286e-05,1.5726202704738294e-05
0.08,0.9999018427424392,8.173273873458626e-05,1.6424518826677676e-05
0.09,0.9999043649484857,7.856870267994976e-05,1.706634883478209e-05
0.1,0.9999064849969755,7.585293190929511e-05,1.7662071115718526e-05
0.11,0.9999082971561968,7.348356347175176e-05,1.8219280331760385e-05
0.12,0.9999098670937305,7.138917711043002e-05,1.8743729159364574e-05
0.13,0.9999112422511602,6.951785262606115e-05,1.9239896213905412e-05
0.14,0.9999124579292991,6.783072318314863e-05,1.9711347518115055e-05
0.15,0.9999135410326468,6.629799275646622e-05,2.0160974597117426e-05
0.16,0.9999145124965813,6.489634346262681e-05,2.05911599566416e-05
0.17,0.9999153888970902,6.360720985413226e-05,2.1003893056318063e-05
0.18,0.9999161835583185,6.241558701324039e-05,2.1400854669016994e-05
0.19,0.9999169073338584,6.130918662651785e-05,2.1783479515738502e-05
0.2,0.999917569435392,6.027748815164736e-05,2.21530764569502e-05
0.21,0.9999181768776674,5.931246608950975e-05,2.2510656243837323e-05
0.22,0.999918735779113,5.840716504299745e-05,2.2857055844622385e-05
0.23,0.9999192518128727,5.755504371508969e-05,2.3193143412824618e-05
0.24,0.9999197295825157,5.675070751073897e-05,2.3519709974230044e-05
0.25,0.9999201727636204,5.5989825966425716e-05,2.383741041372266e-05
0.26,0.9999205848310815,5.526835172926949e-05,2.4146817189809e-05
0.27,0.9999209686325328,5.458291520138709e-05,2.444845226626536e-05
0.28,0.999921326901653,5.393031317398128e-05,2.4742785173409273e-05
0.29,0.9999216617342352,5.330801856229986e-05,2.5030247202873957e-05
0.3,0.9999219751645341,5.271361359913354e-05,2.5311221867167513e-05
0.31,0.9999222691907613,5.214474159489506e-05,2.558606764417817e-05
0.32,0.9999225449949432,5.159989619243888e-05,2.5855108864821694e-05
0.33,0.999922804104857,5.107725461693465e-05,2.6118640526378898e-05
0.34,0.9999230478225993,5.0575235515430566e-05,2.6376941885460237e-05
0.35000000000000003,0.9999232772796705,5.009246120623126e-05,2.6630259123577536e-05
0.36,0.9999234935071937,4.962767116978523e-05,2.6878821636879152e-05
0.37,0.9999236974691217,4.9179674099357285e-05,2.7122856779234814e-05
0.38,0.9999238899189131,4.874751928966518e-05,2.736256179742784e-05
0.39,0.9999240716686693,4.833020328865558e-05,2.759812804220844e-05
0.4,0.9999242434299586,4.792683822672269e-05,2.782973181484887e-05
0.41000000000000003,0.9999244058076108,4.753666081274819e-05,2.8057531576859265e-05
0.42,0.9999245594247496,4.7158886770815556e-05,2.828168847994018e-05
0.43,0.9999247047611298,4.679290668381503e-05,2.85023321867432e-05
0.44,0.9999248423813468,4.643800706187061e-05,2.8719611591651743e-05
0.45,0.9999249727414624,4.6093604233251115e-05,2.8933654304609143e-05
0.46,0.9999250962778162,4.5759132043481286e-05,2.914459014040844e-05
0.47000000000000003,0.9999252132950402,4.5434184774140276e-05,2.9352520185712396e-05
0.48,0.9999253240163624,4.5118453223288866e-05,2.9557530414491895e-05
