model,nmse_0,nmse_1,nmse_2,nmse_3,nmse_4,nmse_5,nmse_mean,data_file,equation,model_alpha,weight_eps,weight_std
103_model,324.04720207501026,554.3881743563121,22381.05085587014,4632151.952111861,222.6020176482191,0.0,775939.0067269685,hydrogen_bromine_ode.csv,hydrogen_bromine,13655.209039314652,0.034701335910491224,0.0001
8_model,313.15977504167427,1807.447588993434,60258.838822315985,3529277.657308532,287.490377034286,0.0,598657.4323119862,hydrogen_bromine_ode.csv,hydrogen_bromine,0.01888717029071998,1.6969191344518737e-07,0.0
12_model,191.42358314429032,913.7583175555964,23249.857137229978,1012334.2346399026,85.19531999584291,0.0,172795.7448329714,hydrogen_bromine_ode.csv,hydrogen_bromine,0.24676368684401048,0.0003338180205189919,0.0
194_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1.035332122467128e-06,6.461810446057677e-06,0.1
30_model,264.79583326539904,1452.8099419944072,42454.2279063664,2218794.575871583,188.355195175131,0.0,377192.4607913974,hydrogen_bromine_ode.csv,hydrogen_bromine,0.7757786350021516,0.0009469378911995572,0.0
60_model,264.79605424875035,1452.8098668775738,42454.29762929631,2218799.3915719264,188.35544386167348,0.0,377193.2750943685,hydrogen_bromine_ode.csv,hydrogen_bromine,0.7757786350021516,0.0009469378911995572,1e-06
119_model,164.1238648398179,739.6107142125082,17902.912891667384,721549.8954342529,60.46407230086659,0.0,123402.83449621225,hydrogen_bromine_ode.csv,hydrogen_bromine,0.05682963421204889,2.621017928780525e-05,0.0001
25_model,239.71078583584637,1262.2671096652098,35040.93281001008,1726396.0501870536,146.25840027239002,0.0,293847.5365488062,hydrogen_bromine_ode.csv,hydrogen_bromine,6.170375743661441,0.09508538688996053,0.0
13_model,324.04618917137157,554.387379997461,22380.919463098704,4632124.798348936,222.6004521360896,0.0,775934.4586388901,hydrogen_bromine_ode.csv,hydrogen_bromine,13655.209039314652,0.034701335910491224,0.0
200_model,0.005313224045479248,0.06273136127460932,0.313307362493915,3.4498833823332964,0.0014184507911540023,0.0,0.638775630156409,hydrogen_bromine_ode.csv,hydrogen_bromine,0.0015436272481452666,0.0005076315792529729,0.1
39_model,322.39224398638515,558.5399931965974,22849.69131029514,4536822.616239558,226.31326405647778,0.0,760129.9255085154,hydrogen_bromine_ode.csv,hydrogen_bromine,2466.160386850043,0.010342237509875594,1e-06
68_model,312.48706044350155,1805.348505558641,59994.56512482301,3506151.7385755097,288.7036561973575,0.0,594758.8071537554,hydrogen_bromine_ode.csv,hydrogen_bromine,0.01888717029071998,1.6969191344518737e-07,1e-05
111_model,5.6484384787215145,25.517297311734715,231.15744894267175,2713.1069086514326,0.638938695851986,0.0,496.0115053467355,hydrogen_bromine_ode.csv,hydrogen_bromine,0.002007566187578647,1.7594534826497084e-06,0.0001
123_model,0.008960126394021797,0.0027762935239368644,0.0034556144287258873,0.6661273597988279,0.00032150777923904233,0.0,0.11360681698745857,hydrogen_bromine_ode.csv,hydrogen_bromine,2.7039662430093773e-05,1.1263537238115918e-05,0.001
122_model,330.3309487206375,603.7355620811422,27085.7613488829,4787295.62417754,247.05495422062927,0.0,802593.7511652409,hydrogen_bromine_ode.csv,hydrogen_bromine,188.19349978921883,0.0012137587328424069,0.001
163_model,324.0412604728251,554.2809490293528,22376.954875302195,4631943.520906644,222.57495003915906,0.0,775903.5621569146,hydrogen_bromine_ode.csv,hydrogen_bromine,13655.209039314652,0.034701335910491224,0.01
74_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1.035332122467128e-06,6.461810446057677e-06,1e-05
65_model,0.049326248418317904,0.700712238909319,1.310769592289604,11.363489487774975,0.004715009211911536,0.0,2.2381687627673545,hydrogen_bromine_ode.csv,hydrogen_bromine,0.009808669434503627,0.0039522808482593125,1e-05
121_model,323.5398084563355,549.9501302219483,22019.159709146552,4603225.21273491,218.8087690873721,0.0,771056.111858637,hydrogen_bromine_ode.csv,hydrogen_bromine,286.52162191429545,3.323668111696107e-07,0.001
85_model,239.97629138067907,1263.940338881373,35102.63292695326,1730312.3681244676,149.79601864714394,0.0,294511.4522833883,hydrogen_bromine_ode.csv,hydrogen_bromine,6.170375743661441,0.09508538688996053,1e-05
75_model,0.009438989021085418,0.001317067258237543,0.0012762702167415014,0.10470931115571556,0.000547555762034168,0.0,0.019548198902302364,hydrogen_bromine_ode.csv,hydrogen_bromine,0.00034364078868532217,0.007180389990094034,1e-05
84_model,323.1966036634785,549.3212576154817,21966.875795430075,4607081.254118196,220.95240041903577,0.0,771690.2666958873,hydrogen_bromine_ode.csv,hydrogen_bromine,202630.7170037328,0.004043336833529763,1e-05
34_model,318.7692719861227,822.4962513020978,22548.696707431503,4651514.359310936,218.99491169948385,0.0,779237.2194088926,hydrogen_bromine_ode.csv,hydrogen_bromine,99.94844112826969,4.995812711851579e-06,1e-06
138_model,0.024368971425961186,0.2991306141046314,0.542918980766728,5.310298229586585,0.002567700127093203,0.0,1.0298807493351665,hydrogen_bromine_ode.csv,hydrogen_bromine,0.00011228413129239159,1.2491870327582288e-06,0.001
91_model,323.5396998280942,549.9562576871905,22019.195737096983,4603224.0952961445,218.80925375483875,0.0,771055.9327074187,hydrogen_bromine_ode.csv,hydrogen_bromine,286.52162191429545,3.323668111696107e-07,0.0001
95_model,0.04931612072070472,0.7006592012576671,1.3179031077228098,11.422890421589727,0.0047711475683767735,0.0,2.2492566664765477,hydrogen_bromine_ode.csv,hydrogen_bromine,0.009808669434503627,0.0039522808482593125,0.0001
104_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1.035332122467128e-06,6.461810446057677e-06,0.0001
129_model,322.38943888111663,558.5193597287977,22848.365902830883,4536715.296202475,226.30589293444302,0.0,760111.812799475,hydrogen_bromine_ode.csv,hydrogen_bromine,2466.160386850043,0.010342237509875594,0.001
156_model,347.54500830839385,765.7754519071507,41877.164221818464,5347395.4216304375,316.98483930941006,0.0,898450.4818586301,hydrogen_bromine_ode.csv,hydrogen_bromine,13.053743027024927,0.00010098468450572415,0.01
